selected,word,phonology,contrast,contrastGroup,source,syllableCount,syllableTemplate,syllable1,syllable2,phones,phoneLength,orthLength,ipaTarget,ttsText,phonologicalNeighborhoodSize,nearestRealWordDistance,nearestRealWords,englishZipfFrequency,selectionScore
0,dempak,easy,control,,generated,2,CVC-CVC,dem,pak,D EH M P AE K,6,6,/dɛmpæk/,dem-pak,1,1,rempac,0.0,0.6663
0,dempan,easy,control,,generated,2,CVC-CVC,dem,pan,D EH M P AE N,6,6,/dɛmpæn/,dem-pan,1,1,deadpan,0.0,0.6663
0,demtak,easy,control,,generated,2,CVC-CVC,dem,tak,D EH M T AE K,6,6,/dɛmtæk/,dem-tak,1,1,deltak,0.0,0.6663
0,dentak,easy,control,,generated,2,CVC-CVC,den,tak,D EH N T AE K,6,6,/dɛntæk/,den-tak,1,1,deltak,0.0,0.6663
1,deskan,easy,control,,generated,2,CVC-CVC,des,kan,D EH S K AE N,6,6,/dɛskæn/,des-kan,1,1,deskin,0.0,0.6663
0,despak,easy,control,,generated,2,CVC-CVC,des,pak,D EH S P AE K,6,6,/dɛspæk/,des-pak,1,1,wespac,0.0,0.6663
0,dikmek,easy,control,,generated,2,CVC-CVC,dik,mek,D IH K M EH K,6,6,/dɪkmɛk/,dik-mek,1,1,dymek,0.0,0.6663
0,diknak,easy,control,,generated,2,CVC-CVC,dik,nak,D IH K N AE K,6,6,/dɪknæk/,dik-nak,1,1,knickknack,0.0,0.6663
0,diknan,easy,control,,generated,2,CVC-CVC,dik,nan,D IH K N AE N,6,6,/dɪknæn/,dik-nan,1,1,duignan,0.0,0.6663
0,dimkek,easy,control,,generated,2,CVC-CVC,dim,kek,D IH M K EH K,6,6,/dɪmkɛk/,dim-kek,1,1,dymek,0.0,0.6663
1,dimmek,easy,control,,generated,2,CVC-CVC,dim,mek,D IH M M EH K,6,6,/dɪmmɛk/,dim-mek,1,1,dymek,0.0,0.6663
0,dimnan,easy,control,,generated,2,CVC-CVC,dim,nan,D IH M N AE N,6,6,/dɪmnæn/,dim-nan,1,1,duignan,0.0,0.6663
0,dimnek,easy,control,,generated,2,CVC-CVC,dim,nek,D IH M N EH K,6,6,/dɪmnɛk/,dim-nek,1,1,dymek,0.0,0.6663
0,dinmak,easy,control,,generated,2,CVC-CVC,din,mak,D IH N M AE K,6,6,/dɪnmæk/,din-mak,1,1,inmac,0.0,0.6663
0,dinman,easy,control,,generated,2,CVC-CVC,din,man,D IH N M AE N,6,6,/dɪnmæn/,din-man,1,1,tinman,0.0,0.6663
0,dinmek,easy,control,,generated,2,CVC-CVC,din,mek,D IH N M EH K,6,6,/dɪnmɛk/,din-mek,1,1,dymek,0.0,0.6663
0,domkek,easy,control,,generated,2,CVC-CVC,dom,kek,D AA M K EH K,6,6,/dɑmkɛk/,dom-kek,1,1,dombeck,0.0,0.6663
0,dompak,easy,control,,generated,2,CVC-CVC,dom,pak,D AA M P AE K,6,6,/dɑmpæk/,dom-pak,1,1,compaq,0.0,0.6663
0,dunkak,easy,control,,generated,2,CVC-CVC,dun,kak,D AH N K AE K,6,6,/dʌnkæk/,dun-kak,1,1,dunkirk,0.0,0.6663
0,faknek,easy,control,,generated,2,CVC-CVC,fak,nek,F AE K N EH K,6,6,/fæknɛk/,fak-nek,1,1,fanech,0.0,0.6663
0,faknik,easy,control,,generated,2,CVC-CVC,fak,nik,F AE K N IH K,6,6,/fæknɪk/,fak-nik,1,1,machnik,0.0,0.6663
0,famnek,easy,control,,generated,2,CVC-CVC,fam,nek,F AE M N EH K,6,6,/fæmnɛk/,fam-nek,1,1,fanech,0.0,0.6663
0,fankek,easy,control,,generated,2,CVC-CVC,fan,kek,F AE N K EH K,6,6,/fænkɛk/,fan-kek,1,1,fanech,0.0,0.6663
0,fanmek,easy,control,,generated,2,CVC-CVC,fan,mek,F AE N M EH K,6,6,/fænmɛk/,fan-mek,1,1,fanech,0.0,0.6663
0,fannek,easy,control,,generated,2,CVC-CVC,fan,nek,F AE N N EH K,6,6,/fænnɛk/,fan-nek,1,1,fanech,0.0,0.6663
0,fanpek,easy,control,,generated,2,CVC-CVC,fan,pek,F AE N P EH K,6,6,/fænpɛk/,fan-pek,1,1,fanech,0.0,0.6663
1,fapnek,easy,control,,generated,2,CVC-CVC,fap,nek,F AE P N EH K,6,6,/fæpnɛk/,fap-nek,1,1,fanech,0.0,0.6663
0,fempak,easy,control,,generated,2,CVC-CVC,fem,pak,F EH M P AE K,6,6,/fɛmpæk/,fem-pak,1,1,rempac,0.0,0.6663
1,fensak,easy,control,,generated,2,CVC-CVC,fen,sak,F EH N S AE K,6,6,/fɛnsæk/,fen-sak,1,1,fenske,0.0,0.6663
0,fespak,easy,control,,generated,2,CVC-CVC,fes,pak,F EH S P AE K,6,6,/fɛspæk/,fes-pak,1,1,wespac,0.0,0.6663
0,fikman,easy,control,,generated,2,CVC-CVC,fik,man,F IH K M AE N,6,6,/fɪkmæn/,fik-man,1,1,fishman,0.0,0.6663
0,fiknak,easy,control,,generated,2,CVC-CVC,fik,nak,F IH K N AE K,6,6,/fɪknæk/,fik-nak,1,1,knickknack,0.0,0.6663
0,fiktak,easy,control,,generated,2,CVC-CVC,fik,tak,F IH K T AE K,6,6,/fɪktæk/,fik-tak,1,1,fitak,0.0,0.6663
0,fimman,easy,control,,generated,2,CVC-CVC,fim,man,F IH M M AE N,6,6,/fɪmmæn/,fim-man,1,1,fishman,0.0,0.6663
0,finkam,easy,control,,generated,2,CVC-CVC,fin,kam,F IH N K AE M,6,6,/fɪnkæm/,fin-kam,1,1,finchum,0.0,0.6663
0,finmak,easy,control,,generated,2,CVC-CVC,fin,mak,F IH N M AE K,6,6,/fɪnmæk/,fin-mak,1,1,inmac,0.0,0.6663
0,fitkak,easy,control,,generated,2,CVC-CVC,fit,kak,F IH T K AE K,6,6,/fɪtkæk/,fit-kak,1,1,fitak,0.0,0.6663
0,fitmak,easy,control,,generated,2,CVC-CVC,fit,mak,F IH T M AE K,6,6,/fɪtmæk/,fit-mak,1,1,fitak,0.0,0.6663
0,foskak,easy,control,,generated,2,CVC-CVC,fos,kak,F AA S K AE K,6,6,/fɑskæk/,fos-kak,1,1,fosback,0.0,0.6663
0,gankik,easy,control,,generated,2,CVC-CVC,gan,kik,G AE N K IH K,6,6,/gænkɪk/,gan-kik,1,1,ganic,0.0,0.6663
0,gempak,easy,control,,generated,2,CVC-CVC,gem,pak,G EH M P AE K,6,6,/gɛmpæk/,gem-pak,1,1,rempac,0.0,0.6663
0,giknak,easy,control,,generated,2,CVC-CVC,gik,nak,G IH K N AE K,6,6,/gɪknæk/,gik-nak,1,1,knickknack,0.0,0.6663
0,ginmak,easy,control,,generated,2,CVC-CVC,gin,mak,G IH N M AE K,6,6,/gɪnmæk/,gin-mak,1,1,inmac,0.0,0.6663
0,ginman,easy,control,,generated,2,CVC-CVC,gin,man,G IH N M AE N,6,6,/gɪnmæn/,gin-man,1,1,tinman,0.0,0.6663
0,hankek,easy,control,,generated,2,CVC-CVC,han,kek,HH AE N K EH K,6,6,/hænkɛk/,han-kek,1,1,hancock,0.0,0.6663
0,hankik,easy,control,,generated,2,CVC-CVC,han,kik,HH AE N K IH K,6,6,/hænkɪk/,han-kik,1,1,hancock,0.0,0.6663
1,hanpek,easy,control,,generated,2,CVC-CVC,han,pek,HH AE N P EH K,6,6,/hænpɛk/,han-pek,1,1,henpeck,0.0,0.6663
0,hekkik,easy,control,,generated,2,CVC-CVC,hek,kik,HH EH K K IH K,6,6,/hɛkkɪk/,hek-kik,1,1,hectic,0.0,0.6663
1,hektak,easy,control,,generated,2,CVC-CVC,hek,tak,HH EH K T AE K,6,6,/hɛktæk/,hek-tak,1,1,hectic,0.0,0.6663
0,hempak,easy,control,,generated,2,CVC-CVC,hem,pak,HH EH M P AE K,6,6,/hɛmpæk/,hem-pak,1,1,rempac,0.0,0.6663
0,henpak,easy,control,,generated,2,CVC-CVC,hen,pak,HH EH N P AE K,6,6,/hɛnpæk/,hen-pak,1,1,henpeck,0.0,0.6663
0,hiknak,easy,control,,generated,2,CVC-CVC,hik,nak,HH IH K N AE K,6,6,/hɪknæk/,hik-nak,1,1,knickknack,0.0,0.6663
0,hinkak,easy,control,,generated,2,CVC-CVC,hin,kak,HH IH N K AE K,6,6,/hɪnkæk/,hin-kak,1,1,hinzack,0.0,0.6663
0,hinnak,easy,control,,generated,2,CVC-CVC,hin,nak,HH IH N N AE K,6,6,/hɪnnæk/,hin-nak,1,1,hinzack,0.0,0.6663
0,hinpak,easy,control,,generated,2,CVC-CVC,hin,pak,HH IH N P AE K,6,6,/hɪnpæk/,hin-pak,1,1,hinzack,0.0,0.6663
0,hiskak,easy,control,,generated,2,CVC-CVC,his,kak,HH IH S K AE K,6,6,/hɪskæk/,his-kak,1,1,hiscock,0.0,0.6663
0,kapnek,easy,control,,generated,2,CVC-CVC,kap,nek,K AE P N EH K,6,6,/kæpnɛk/,kap-nek,1,1,kapnick,0.0,0.6663
0,kikmak,easy,control,,generated,2,CVC-CVC,kik,mak,K IH K M AE K,6,6,/kɪkmæk/,kik-mak,1,1,kickback,0.0,0.6663
0,kinmak,easy,control,,generated,2,CVC-CVC,kin,mak,K IH N M AE K,6,6,/kɪnmæk/,kin-mak,1,1,inmac,0.0,0.6663
0,kinpak,easy,control,,generated,2,CVC-CVC,kin,pak,K IH N P AE K,6,6,/kɪnpæk/,kin-pak,1,1,killpack,0.0,0.6663
0,kommak,easy,control,,generated,2,CVC-CVC,kom,mak,K AA M M AE K,6,6,/kɑmmæk/,kom-mak,1,1,compaq,0.0,0.6663
0,komnak,easy,control,,generated,2,CVC-CVC,kom,nak,K AA M N AE K,6,6,/kɑmnæk/,kom-nak,1,1,compaq,0.0,0.6663
0,makkik,easy,control,,generated,2,CVC-CVC,mak,kik,M AE K K IH K,6,6,/mækkɪk/,mak-kik,1,1,machnik,0.0,0.6663
0,maknek,easy,control,,generated,2,CVC-CVC,mak,nek,M AE K N EH K,6,6,/mæknɛk/,mak-nek,1,1,machnik,0.0,0.6663
0,makpek,easy,control,,generated,2,CVC-CVC,mak,pek,M AE K P EH K,6,6,/mækpɛk/,mak-pek,1,1,mcpeck,0.0,0.6663
0,mankek,easy,control,,generated,2,CVC-CVC,man,kek,M AE N K EH K,6,6,/mænkɛk/,man-kek,1,1,manbeck,0.0,0.6663
0,mannek,easy,control,,generated,2,CVC-CVC,man,nek,M AE N N EH K,6,6,/mænnɛk/,man-nek,1,1,manbeck,0.0,0.6663
1,memnan,easy,control,,generated,2,CVC-CVC,mem,nan,M EH M N AE N,6,6,/mɛmnæn/,mem-nan,1,1,memnon,0.0,0.6663
0,mempak,easy,control,,generated,2,CVC-CVC,mem,pak,M EH M P AE K,6,6,/mɛmpæk/,mem-pak,1,1,rempac,0.0,0.6663
0,metkak,easy,control,,generated,2,CVC-CVC,met,kak,M EH T K AE K,6,6,/mɛtkæk/,met-kak,1,1,metcalf,0.0,0.6663
0,mikkek,easy,control,,generated,2,CVC-CVC,mik,kek,M IH K K EH K,6,6,/mɪkkɛk/,mik-kek,1,1,macek,0.0,0.6663
0,miknak,easy,control,,generated,2,CVC-CVC,mik,nak,M IH K N AE K,6,6,/mɪknæk/,mik-nak,1,1,knickknack,0.0,0.6663
0,mikpak,easy,control,,generated,2,CVC-CVC,mik,pak,M IH K P AE K,6,6,/mɪkpæk/,mik-pak,1,1,midpac,0.0,0.6663
0,mimkek,easy,control,,generated,2,CVC-CVC,mim,kek,M IH M K EH K,6,6,/mɪmkɛk/,mim-kek,1,1,macek,0.0,0.6663
0,mimpak,easy,control,,generated,2,CVC-CVC,mim,pak,M IH M P AE K,6,6,/mɪmpæk/,mim-pak,1,1,midpac,0.0,0.6663
0,minpak,easy,control,,generated,2,CVC-CVC,min,pak,M IH N P AE K,6,6,/mɪnpæk/,min-pak,1,1,midpac,0.0,0.6663
0,miskak,easy,control,,generated,2,CVC-CVC,mis,kak,M IH S K AE K,6,6,/mɪskæk/,mis-kak,1,1,misiak,0.0,0.6663
0,nempak,easy,control,,generated,2,CVC-CVC,nem,pak,N EH M P AE K,6,6,/nɛmpæk/,nem-pak,1,1,rempac,0.0,0.6663
0,netkak,easy,control,,generated,2,CVC-CVC,net,kak,N EH T K AE K,6,6,/nɛtkæk/,net-kak,1,1,netback,0.0,0.6663
1,netmak,easy,control,,generated,2,CVC-CVC,net,mak,N EH T M AE K,6,6,/nɛtmæk/,net-mak,1,1,netback,0.0,0.6663
0,nikkak,easy,control,,generated,2,CVC-CVC,nik,kak,N IH K K AE K,6,6,/nɪkkæk/,nik-kak,1,1,knickknack,0.0,0.6663
0,nikmak,easy,control,,generated,2,CVC-CVC,nik,mak,N IH K M AE K,6,6,/nɪkmæk/,nik-mak,1,1,knickknack,0.0,0.6663
0,nikpak,easy,control,,generated,2,CVC-CVC,nik,pak,N IH K P AE K,6,6,/nɪkpæk/,nik-pak,1,1,knickknack,0.0,0.6663
0,ninmak,easy,control,,generated,2,CVC-CVC,nin,mak,N IH N M AE K,6,6,/nɪnmæk/,nin-mak,1,1,inmac,0.0,0.6663
0,nonkak,easy,control,,generated,2,CVC-CVC,non,kak,N AA N K AE K,6,6,/nɑnkæk/,non-kak,1,1,noncash,0.0,0.6663
0,pankek,easy,control,,generated,2,CVC-CVC,pan,kek,P AE N K EH K,6,6,/pænkɛk/,pan-kek,1,1,pancake,0.0,0.6663
0,pikkan,easy,control,,generated,2,CVC-CVC,pik,kan,P IH K K AE N,6,6,/pɪkkæn/,pik-kan,1,1,pecan,0.0,0.6663
0,pikman,easy,control,,generated,2,CVC-CVC,pik,man,P IH K M AE N,6,6,/pɪkmæn/,pik-man,1,1,pecan,0.0,0.6663
0,pimkan,easy,control,,generated,2,CVC-CVC,pim,kan,P IH M K AE N,6,6,/pɪmkæn/,pim-kan,1,1,pecan,0.0,0.6663
0,pimnak,easy,control,,generated,2,CVC-CVC,pim,nak,P IH M N AE K,6,6,/pɪmnæk/,pim-nak,1,1,pilnak,0.0,0.6663
0,pinmak,easy,control,,generated,2,CVC-CVC,pin,mak,P IH N M AE K,6,6,/pɪnmæk/,pin-mak,1,1,inmac,0.0,0.6663
0,pinnak,easy,control,,generated,2,CVC-CVC,pin,nak,P IH N N AE K,6,6,/pɪnnæk/,pin-nak,1,1,pilnak,0.0,0.6663
0,ponkak,easy,control,,generated,2,CVC-CVC,pon,kak,P AA N K AE K,6,6,/pɑnkæk/,pon-kak,1,1,pontiac,0.0,0.6663
0,sekman,easy,control,,generated,2,CVC-CVC,sek,man,S EH K M AE N,6,6,/sɛkmæn/,sek-man,1,1,seckman,0.0,0.6663
0,sempak,easy,control,,generated,2,CVC-CVC,sem,pak,S EH M P AE K,6,6,/sɛmpæk/,sem-pak,1,1,rempac,0.0,0.6663
0,senkak,easy,control,,generated,2,CVC-CVC,sen,kak,S EH N K AE K,6,6,/sɛnkæk/,sen-kak,1,1,sendak,0.0,0.6663
0,senmak,easy,control,,generated,2,CVC-CVC,sen,mak,S EH N M AE K,6,6,/sɛnmæk/,sen-mak,1,1,sendak,0.0,0.6663
0,sennak,easy,control,,generated,2,CVC-CVC,sen,nak,S EH N N AE K,6,6,/sɛnnæk/,sen-nak,1,1,sendak,0.0,0.6663
0,senpak,easy,control,,generated,2,CVC-CVC,sen,pak,S EH N P AE K,6,6,/sɛnpæk/,sen-pak,1,1,sendak,0.0,0.6663
0,seskak,easy,control,,generated,2,CVC-CVC,ses,kak,S EH S K AE K,6,6,/sɛskæk/,ses-kak,1,1,sesdaq,0.0,0.6663
0,setkak,easy,control,,generated,2,CVC-CVC,set,kak,S EH T K AE K,6,6,/sɛtkæk/,set-kak,1,1,setback,0.0,0.6663
0,siknak,easy,control,,generated,2,CVC-CVC,sik,nak,S IH K N AE K,6,6,/sɪknæk/,sik-nak,1,1,knickknack,0.0,0.6663
0,sinkam,easy,control,,generated,2,CVC-CVC,sin,kam,S IH N K AE M,6,6,/sɪnkæm/,sin-kam,1,1,cinram,0.0,0.6663
0,sinmak,easy,control,,generated,2,CVC-CVC,sin,mak,S IH N M AE K,6,6,/sɪnmæk/,sin-mak,1,1,inmac,0.0,0.6663
0,tekkan,easy,control,,generated,2,CVC-CVC,tek,kan,T EH K K AE N,6,6,/tɛkkæn/,tek-kan,1,1,texscan,0.0,0.6663
0,temkan,easy,control,,generated,2,CVC-CVC,tem,kan,T EH M K AE N,6,6,/tɛmkæn/,tem-kan,1,1,temkin,0.0,0.6663
0,tempak,easy,control,,generated,2,CVC-CVC,tem,pak,T EH M P AE K,6,6,/tɛmpæk/,tem-pak,1,1,rempac,0.0,0.6663
0,tiknak,easy,control,,generated,2,CVC-CVC,tik,nak,T IH K N AE K,6,6,/tɪknæk/,tik-nak,1,1,knickknack,0.0,0.6663
0,tokmak,easy,control,,generated,2,CVC-CVC,tok,mak,T AA K M AE K,6,6,/tɑkmæk/,tok-mak,1,1,tarmac,0.0,0.6663
0,wekman,easy,control,,generated,2,CVC-CVC,wek,man,W EH K M AE N,6,6,/wɛkmæn/,wek-man,1,1,walkman,0.0,0.6663
0,wekpak,easy,control,,generated,2,CVC-CVC,wek,pak,W EH K P AE K,6,6,/wɛkpæk/,wek-pak,1,1,wespac,0.0,0.6663
0,wenkan,easy,control,,generated,2,CVC-CVC,wen,kan,W EH N K AE N,6,6,/wɛnkæn/,wen-kan,1,1,wenfan,0.0,0.6663
0,weskak,easy,control,,generated,2,CVC-CVC,wes,kak,W EH S K AE K,6,6,/wɛskæk/,wes-kak,1,1,wespac,0.0,0.6663
0,wiknak,easy,control,,generated,2,CVC-CVC,wik,nak,W IH K N AE K,6,6,/wɪknæk/,wik-nak,1,1,knickknack,0.0,0.6663
0,dakkek,easy,control,,generated,2,CVC-CVC,dak,kek,D AE K K EH K,6,6,/dækkɛk/,dak-kek,0,3,creque|dachau|dacs|dahnke|dank|dax|dhaka|dhaka|dweck|kleck,0.0,1.6094
0,dakkem,easy,control,,generated,2,CVC-CVC,dak,kem,D AE K K EH M,6,6,/dækkɛm/,dak-kem,0,3,clem|dachau|dacs|dahnke|dank|dax|dhaka|dhaka|klem|klemm,0.0,1.6094
0,dakken,easy,control,,generated,2,CVC-CVC,dak,ken,D AE K K EH N,6,6,/dækkɛn/,dak-ken,0,3,achorn|cayenne|cayenne|dachau|dacs|dahnke|dank|dax|dhaka|dhaka,0.0,1.6094
0,dakkik,easy,control,,generated,2,CVC-CVC,dak,kik,D AE K K IH K,6,6,/dækkɪk/,dak-kik,0,3,achill|alec|allick|amick|annick|aric|arrick|asic|attic|click,0.0,1.6094
0,dakkim,easy,control,,generated,2,CVC-CVC,dak,kim,D AE K K IH M,6,6,/dækkɪm/,dak-kim,0,3,achill|clim|crim|crimm|dachau|dacs|dahnke|dank|dax|dhaka,0.0,1.6094
0,dakmek,easy,control,,generated,2,CVC-CVC,dak,mek,D AE K M EH K,6,6,/dækmɛk/,dak-mek,0,3,acme|amev|amick|creque|dachau|dacs|dahnke|dammed|dammer|damned,0.0,1.6094
0,dakmem,easy,control,,generated,2,CVC-CVC,dak,mem,D AE K M EH M,6,6,/dækmɛm/,dak-mem,0,3,acme|amev|clem|dachau|dacs|dammed|dammer|damned|damns|damp,0.0,1.6094
0,dakmen,easy,control,,generated,2,CVC-CVC,dak,men,D AE K M EH N,6,6,/dækmɛn/,dak-men,0,3,achorn|acme|amann|amen|amen|amev|amman|ammann|ammon|cayenne,0.0,1.6094
0,daknek,easy,control,,generated,2,CVC-CVC,dak,nek,D AE K N EH K,6,6,/dæknɛk/,dak-nek,0,3,acne|anac|annick|creque|dachau|dacs|dahnke|dance|dank|danna,0.0,1.6094
0,daknem,easy,control,,generated,2,CVC-CVC,dak,nem,D AE K N EH M,6,6,/dæknɛm/,dak-nem,0,3,acne|annum|clem|dachau|dacs|dance|danna|danner|dannie|danny,0.0,1.6094
0,daknen,easy,control,,generated,2,CVC-CVC,dak,nen,D AE K N EH N,6,6,/dæknɛn/,dak-nen,0,3,achorn|acne|annan|annen|anon|cayenne|cayenne|dachau|dacs|dance,0.0,1.6094
0,dakpek,easy,control,,generated,2,CVC-CVC,dak,pek,D AE K P EH K,6,6,/dækpɛk/,dak-pek,0,3,apec|creque|dachau|dacs|dahnke|damp|dank|dapper|dax|dhaka,0.0,1.6094
0,dakpem,easy,control,,generated,2,CVC-CVC,dak,pem,D AE K P EH M,6,6,/dækpɛm/,dak-pem,0,3,clem|dachau|dacs|damp|dapper|dax|dhaka|dhaka|klem|klemm,0.0,1.6094
0,damkek,easy,control,,generated,2,CVC-CVC,dam,kek,D AE M K EH K,6,6,/dæmkɛk/,dam-kek,0,3,amca|amev|amick|dachau|dacs|dahnke|dammed|dammer|damned|damns,0.0,1.6094
0,damkem,easy,control,,generated,2,CVC-CVC,dam,kem,D AE M K EH M,6,6,/dæmkɛm/,dam-kem,0,3,amca|amev|dachau|dacs|dahnke|dammed|dammer|damned|damns|damp,0.0,1.6094
0,damken,easy,control,,generated,2,CVC-CVC,dam,ken,D AE M K EH N,6,6,/dæmkɛn/,dam-ken,0,3,achorn|amann|amca|amen|amen|amev|amman|ammann|ammon|dachau,0.0,1.6094
0,dammek,easy,control,,generated,2,CVC-CVC,dam,mek,D AE M M EH K,6,6,/dæmmɛk/,dam-mek,0,3,amev|amick|dahnke|dammed|dammer|damned|damns|damp|dams|dank,0.0,1.6094
0,dammem,easy,control,,generated,2,CVC-CVC,dam,mem,D AE M M EH M,6,6,/dæmmɛm/,dam-mem,0,3,amev|dammed|dammer|damned|damns|damp|dams,0.0,1.6094
0,dammen,easy,control,,generated,2,CVC-CVC,dam,men,D AE M M EH N,6,6,/dæmmɛn/,dam-men,0,3,amann|amen|amen|amev|amman|ammann|ammon|dammed|dammer|damned,0.0,1.6094
0,damnek,easy,control,,generated,2,CVC-CVC,dam,nek,D AE M N EH K,6,6,/dæmnɛk/,dam-nek,0,3,amev|amick|anac|annick|dahnke|dammed|dammer|damned|damns|damp,0.0,1.6094
0,damnem,easy,control,,generated,2,CVC-CVC,dam,nem,D AE M N EH M,6,6,/dæmnɛm/,dam-nem,0,3,amev|annum|dammed|dammer|damned|damns|damp|dams|dance|danna,0.0,1.6094
0,dankek,easy,control,,generated,2,CVC-CVC,dan,kek,D AE N K EH K,6,6,/dænkɛk/,dan-kek,0,3,anac|annick|dachau|dacs|dahnke|dance|dank|danna|danner|dannie,0.0,1.6094
0,dankem,easy,control,,generated,2,CVC-CVC,dan,kem,D AE N K EH M,6,6,/dænkɛm/,dan-kem,0,3,annum|dachau|dacs|dahnke|dance|dank|danna|danner|dannie|danny,0.0,1.6094
0,danken,easy,control,,generated,2,CVC-CVC,dan,ken,D AE N K EH N,6,6,/dænkɛn/,dan-ken,0,3,achorn|annan|annen|anon|dachau|dacs|dahnke|dance|dank|danna,0.0,1.6094
